block	phen	data	PIP.ME	PIP.meta
1:151566405..154721871	WBC	omim	0.5665024630541872	0.13054187192118227
1:154721871..156857804	WBC	omim	0.7030905077262694	0.06732891832229582
1:158933916..162006499	WBC	omim	0.8224299065420562	0.633177570093458
1:147581874..151566405	WBC	orphanet	0.6075085324232081	0.89419795221843
1:154721871..156857804	WBC	orphanet	0.658890290037831	0.07629255989911732
12:109778816..113743717	PLT	omim	0.6889763779527559	0.7204724409448819
6:32783080..36261711	PLT	omim	0.7392821535393819	0.6435692921236291
6:32783080..36261711	PLT	orphanet	0.7389078498293515	0.643344709897611
1:158933916..162006499	NEU	omim	0.8224299065420562	0.5350467289719626
1:147581874..151566405	NEU	orphanet	0.24914675767918087	0.5358361774744027
1:154721871..156857804	MON	omim	0.23165618448637315	0.16457023060796647
1:158933916..162006499	MON	omim	0.37383177570093457	0.4088785046728972
1:154721871..156857804	MON	orphanet	0.17305389221556888	0.1227544910179641
