block	phen	data	PIP.ME	PIP.meta
1:151538881..154694347	WBC	omim	0.5665024630541872	0.13054187192118227
1:154694347..156827596	WBC	omim	0.7030905077262694	0.06732891832229582
1:158903706..161976289	WBC	omim	0.8224299065420562	0.633177570093458
1:147053674..151538881	WBC	orphanet	0.6567164179104478	0.9074626865671641
1:154694347..156827596	WBC	orphanet	0.658890290037831	0.07629255989911732
6:32750857..36229488	PLT	omim	0.7392821535393819	0.6435692921236291
12:110216621..114181522	PLT	omim	0.6441441441441441	0.6801801801801801
6:32750857..36229488	PLT	orphanet	0.7389078498293515	0.643344709897611
1:158903706..161976289	NEU	omim	0.8224299065420562	0.5350467289719626
1:147053674..151538881	NEU	orphanet	0.34328358208955223	0.5940298507462686
1:154694347..156827596	MON	omim	0.23165618448637315	0.16457023060796647
1:158903706..161976289	MON	omim	0.37383177570093457	0.4088785046728972
1:154694347..156827596	MON	orphanet	0.17305389221556888	0.1227544910179641
