gene	genoa_ea_s	genoa_aa_s	geuv_yri_s	geuv_eur_s	geuv_eur	geuv_yri	ea	aa	genoa_ea	genoa_aa
A4GALT	0.05601264216353918	0.06642186567715269	0.06381380790363002	0.0680713359828067	0.10949741011740595	0.06798877543111091	0.1	0.16	0.05046420685870495	0.009167858422952134
AACS	1.2357191630817346e-4	0.00388739648731482	0.0014944963852338343	0.0013118360318531187	0.0018442357448657768	0.0024454774760237306	0.14	0.0065	9.526451677173881e-4	NA
AASDH	0.045398422869348025	0.007282712917422194	0.009404556685281031	0.08163655523809735	0.04682752743093338	0.017829529559187356	0.12	0.18	0.0453983915483591	0.0023681727677263144
AASS	0.014388552112550908	0.011075939316766162	0.0028768633249154486	0.0032615020633508253	0.018301797538896786	0.007790811043283524	0.066	0.0075	0.021131816425920217	NA
ABCA10	0.017124743100014793	0.0019995057973767553	0.015272261251748995	2.1435576541785765e-4	0.006068108427911909	0.07991383262957417	0.033	0.097	0.0016716429029852901	0.009025561448583899
ABCA12	0.060765070712690106	0.08374068148290369	0.0017603140601692496	0.019492244671312595	0.0118677578640645	0.0027330732123769285	0.081	0.11	0.006667917596562657	0.0016100181021543286
ABCA2	0.012556346157888894	1.0595075355963119e-4	0.00463343363982921	7.26196713745492e-4	0.0032392995247713524	0.004145338361452795	0.086	0.0053	NA	2.088059787159763e-4
ABCA5	3.437037605816409e-5	3.7916145981137657e-4	0.010575553078097613	7.546183845746207e-4	0.0020132277701939605	0.012384123945278132	0.01	0.089	0.0051261961367356865	NA
ABCA6	0.0011492000125724903	0.0021846987021608448	0.005728183016094358	9.023453147124838e-4	0.0021805165570784055	0.007182415860239408	-0.0022	0.018	0.007487410798279661	NA
ABCB10	0.018994234972947006	0.027952309810426484	0.06411252980899812	0.0049998278918023465	0.008648356735605921	0.12422118846557473	0.18	0.13	0.003957443466868757	0.09103995640465956
ABCB4	0.012218291090101708	0.03765182212841858	0.016686708419215164	0.01787461422259537	0.007896478683419611	0.06102615571578854	0.022	0.2	0.008942573731873961	NA
ABCC1	1.934412217818342e-5	0.009114165483553538	0.010257541604774848	0.019927861874740393	0.015520880939514438	8.578361441940166e-6	0.084	0.031	9.494646059365797e-8	6.030977947739767e-5
ABCC10	3.4025707195268465e-4	0.0011709101079620424	0.007606278925888727	0.00816217172319987	0.009290690822573876	0.044018125902653665	0.056	0.014	0.005307667385769203	0.004253957908472293
ABCC2	0.011597733765168474	0.02629949385319541	3.354825427755649e-5	0.016837265722369404	0.024497265633832126	0.007501978599589308	0.046	0.026	0.02246079650790713	0.01052150283947586
ABCC4	4.149129978736434e-4	0.007573725205848674	0.09358670099990928	0.0030487198012207873	2.5296123523693586e-5	0.023359253842199976	0.0095	0.07	0.011142449677239543	9.04800462352894e-6
ABCD2	0.006129168817435166	0.016994563311097693	0.006746342400325543	0.04175497375441126	0.03163202328333268	0.04951385373065231	0.026	0.11	0.013330868809745527	NA
ABCD3	0.02389498150988868	3.3662594903780294e-4	0.006939087190094985	4.377909784504907e-4	0.0020154135164549606	0.0016888371311531423	0.055	0.04	2.3646591630403655e-4	9.480129386737488e-4
ABCD4	0.018407865386977036	0.0049803756562300325	0.002310528087969654	0.0011624909864339636	0.03126205268175859	0.12284148909507638	0.057	0.24	0.009109313725022829	0.012782274947116718
ABCF1	0.021904366802882897	0.009357728557186393	0.006938986132285876	1.6189645815525155e-4	7.793879762217274e-4	0.0032430637809249523	0.057	0.15	5.690529433153124e-6	0.010277307049406574
ABCF2	0.1057482970752133	0.013902899491894728	0.003843732788852309	1.3677220044174703e-5	1.5617239605216724e-4	5.842816417502759e-4	0.48	0.078	0.0011792887655929774	2.4065411781974168e-5
ABCG2	9.29505826770827e-4	3.4754711550268193e-4	0.0246854313328982	0.005642890186479865	0.006369957275487538	0.0011167228162848827	0.01	0.0042	0.0017782705971535475	NA
ABHD10	0.014625516402595585	0.08502964821742195	0.006769595338040584	0.048117169645903124	0.04069791452670711	0.007584895427563304	0.15	0.3	0.014874188981966232	0.010102469863701448
ABHD12	0.013406442863213498	0.023444051283317405	0.03636903872729212	0.11135290160213142	0.11055396237754628	0.07488661284160142	0.15	0.14	0.019638462871951857	NA
ABHD3	0.007127283666102694	7.449006471161013e-4	0.007759036409669306	1.1837899065651445e-4	0.003872098425059841	0.07735235854379245	0.039	0.24	NA	0.0315114313844371
ABHD4	0.18450430316770333	0.14323664572414735	0.1652093741637957	0.05164383326356277	0.04991188871449272	0.16808122179615748	0.47	0.3	0.18557334392521796	6.254102195830362e-6
ABHD6	0.05528011241091097	0.05874248463724184	0.02607151950576352	0.08075655400500935	0.09140831886256544	0.0390150052607101	0.18	0.045	0.05742573617073684	0.006373648868913565
ABHD8	1.8230880065734255e-6	0.014782933259986633	0.075414284084119515	0.042315936820512774	0.12279676327309717	0.08181979044941444	0.023	0.093	0.019169021576447065	0.002991236944903966
ABI1	0.0011513513847090106	0.004905973053351127	0.01253718940415214	0.005290573739920889	0.005498091301570264	0.004775471475736559	0.029	0.018	5.332474579380486e-4	2.226947982048318e-5
ABL2	0.011293129064542027	0.01820073148881357	0.015176409120442689	0.01125977045318127	0.013714728380513113	0.11127483323000463	0.12	0.087	0.027739112326867675	0.0037973994243452923
ACAA1	0.011456566518687514	0.01310318171819108	0.007335690781508688	0.005363671927247306	0.003145976680490696	2.4176891516728972e-06	0.048	0.085	NA	0.004868999129969116
ACAA2	0.012240323060534092	0.03238760480737604	0.007572745485622662	0.006254409526913863	0.0020833507556965434	0.0012806494590909376	0.28	0.057	0.00962809129464858	0.0029203482403414587
ACACB	0.01919632153772408	0.014734270723331007	0.025516596910436815	0.021438438004918275	0.06499813585870931	2.100722132311656e-4	0.14	0.019	0.10828556621689414	NA
ACAD8	0.009557906263003384	0.006088933935837048	0.008851898212914334	0.04067137066875577	0.03444665642193611	0.06097285119814714	0.079	0.054	0.01581208512835109	0.008807956080805986
ACAD9	0.01605867405781213	0.03548047351122814	0.0046458389967509095	0.011708307025990608	0.0272367381977375	0.030349372497855506	0.069	0.31	0.0014998880134764847	0.00352961907543426
ACADM	0.02046767028926208	5.174333330274965e-4	0.003668098019675629	0.009021151415162968	0.013071723972057464	0.01995299930891387	0.33	0.12	0.03527290659412485	0.002614631385455195
ACADS	0.022322384232651205	1.2999540226198845e-5	0.0035986465219163093	7.634573957140027e-4	0.011134093081259082	0.06131671060956401	0.11	0.013	0.025791162378369325	6.899281973863868e-4
ACAP1	0.01125148151423836	0.0076728403174751774	NA	0.01093374018272757	0.10511885715423709	0.003176384430358201	0.019	0.037	0.006436994287312039	NA
