PHEN	GWAS	GWAS.SE	TWAS	TWAS.SE
BAS	0.02420846563142448	0.004235512126365377	0.047333475021982985	0.018796282562303084
EOS	0.04489325000678017	0.0057727793585243626	0.03945543996374988	0.013614328775528609
HCT	0.053306623728976724	0.006018828948207358	0.05157369295785502	0.018641616788882494
HGB	0.051719960493344486	0.006275980119767757	0.06186268729393718	0.015677134682287302
LYM	0.0695768535514032	0.007149134321397681	0.0681731000436833	0.023850070726209323
MCH	0.04672338626143451	0.005802854749610852	0.06288434924340017	0.020733209321758615
MCHC	0.028013177687959447	0.0045370136304980725	0.06805794036663346	0.021950834941886908
MCV	0.06112089475728124	0.006733663178344453	0.0715443636241754	0.01776957828782753
MON	0.05661683909985849	0.0050750168490855735	0.06189601670748239	0.020119731415272925
MPV	0.06338297006324897	0.00532740229181514	0.0800055257752953	0.021524828033362496
NEU	0.050541411990851014	0.005093363016788843	0.04829808984360949	0.01573861232386783
PLT	0.06604394354040474	0.006212353010470976	0.07927967466491805	0.01741210527542199
RBC	0.06440030309390067	0.005324596056528839	0.08177629703014337	0.015946851140197015
RDW	0.04466334342733574	0.006080505010397257	0.04500512449863612	0.016998466980606686
WBC	0.06208130572464947	0.005460693953078265	0.04542702201158412	0.01662124428277228
