GENE	r2	GENEID	POP	HSQ	HSQSE	HSQP	VG	VGSE
A4GALT	0.10949741011740595	ENSG00000128274.10	EUR	0.102336	0.038	6.599e-4	0.10022	0.039469
AACS	0.0018442357448657768	ENSG00000081760.11	EUR	0.040006	0.028546	0.1269	0.040114	0.028882
AASDH	0.04682752743093338	ENSG00000157426.8	EUR	0.089107	0.029156	3.127e-4	0.087591	0.030003
AASS	0.018301797538896786	ENSG00000008311.10	EUR	-0.012725	0.005372	0.3628	-0.012859	0.005529
ABCA10	0.006068108427911909	ENSG00000154263.11	EUR	0.009656	0.014636	0.2947	0.009832	0.014925
ABCA12	0.0118677578640645	ENSG00000144452.10	EUR	-0.001938	0.017095	0.468	-0.001941	0.017123
ABCA2	0.0032392995247713524	ENSG00000107331.10	EUR	0.003359	0.018581	0.4476	0.003401	0.018815
ABCA5	0.0020132277701939605	ENSG00000154265.10	EUR	0.009361	0.015193	0.3054	0.008862	0.014404
ABCA6	0.0021805165570784055	ENSG00000154262.7	EUR	0.008448	0.017742	0.3593	0.008475	0.017816
ABCB10	0.008648356735605921	ENSG00000135776.4	EUR	0.011466	0.013485	0.2412	0.011589	0.013661
ABCB4	0.007896478683419611	ENSG00000005471.11	EUR	0.049157	0.026907	0.04246	0.050041	0.028112
ABCC1	0.015520880939514438	ENSG00000103222.13	EUR	0.03437	0.019236	0.03265	0.034578	0.019613
ABCC10	0.009290690822573876	ENSG00000124574.9	EUR	0.011541	0.018204	0.3042	0.01153	0.01822
ABCC2	0.024497265633832126	ENSG00000023839.6	EUR	0.036202	0.018655	0.01346	0.03478	0.018218
ABCC4	2.5296123523693586e-5	ENSG00000125257.9	EUR	0.035693	0.029197	0.1486	0.03632	0.02995
ABCD2	0.03163202328333268	ENSG00000173208.3	EUR	0.041734	0.021607	0.007905	0.039266	0.020779
ABCD3	0.0020154135164549606	ENSG00000117528.7	EUR	0.016595	0.019527	0.245	0.016585	0.019572
ABCD4	0.03126205268175859	ENSG00000119688.14	EUR	0.055011	0.037583	0.08739	0.054381	0.038307
ABCF1	7.793879762217274e-4	ENSG00000204574.6	EUR	-0.020853	2.02e-4	0.01667	-0.021018	0.00115
ABCF2	1.5617239605216724e-4	ENSG00000033050.3	EUR	-0.012676	0.012732	0.2669	-0.012815	0.012908
ABCG2	0.006369957275487538	ENSG00000118777.6	EUR	-0.034381	0.002342	0.06424	-0.03421	0.003101
ABHD10	0.04069791452670711	ENSG00000144827.4	EUR	0.038204	0.023432	0.06289	0.039374	0.024518
ABHD12	0.11055396237754628	ENSG00000100997.12	EUR	0.09857	0.031475	1.921e-11	0.088514	0.030631
ABHD3	0.003872098425059841	ENSG00000158201.4	EUR	-0.004013	0.005136	0.3284	-0.00395	0.005064
ABHD4	0.04991188871449272	ENSG00000100439.6	EUR	0.033704	0.032004	0.1939	0.034296	0.032775
ABHD6	0.09140831886256544	ENSG00000163686.8	EUR	0.07662	0.028599	8.03e-5	0.074821	0.02924
ABHD8	0.12279676327309717	ENSG00000127220.3	EUR	0.116246	0.030799	3.837e-5	0.108719	0.030674
ABI1	0.005498091301570264	ENSG00000136754.12	EUR	0.008637	0.017658	0.3532	0.008668	0.017739
ABL2	0.013714728380513113	ENSG00000143322.15	EUR	0.004063	0.018339	0.4327	0.004158	0.018776
ACAA1	0.003145976680490696	ENSG00000060971.11	EUR	-0.012073	0.006343	0.1691	-0.012291	0.00651
ACAA2	0.0020833507556965434	ENSG00000167315.10	EUR	0.055737	0.035303	0.06454	0.056587	0.036678
ACACB	0.06499813585870931	ENSG00000076555.10	EUR	0.162712	0.040596	1.592e-6	0.164305	0.046094
ACAD10	6.770523578891005e-5	ENSG00000111271.9	EUR	-0.00464	6.74e-4	0.165	-0.004722	7.42e-4
ACAD8	0.03444665642193611	ENSG00000151498.6	EUR	0.037108	0.025424	0.0928	0.036968	0.025576
ACAD9	0.0272367381977375	ENSG00000177646.12	EUR	0.043238	0.03506	0.09879	0.043532	0.035966
ACADM	0.013071723972057464	ENSG00000117054.8	EUR	0.022414	0.020056	0.1551	0.022477	0.020269
ACADS	0.011134093081259082	ENSG00000122971.4	EUR	0.007618	0.014269	0.3351	0.007368	0.013819
ACAP1	0.10511885715423709	ENSG00000072818.6	EUR	0.102663	0.042694	0.008463	0.105632	0.046084
ACAP2	1.0881617447690895e-4	ENSG00000114331.8	EUR	-0.002077	0.011456	0.4498	-0.001994	0.011
ACAT1	0.06901098948985607	ENSG00000075239.9	EUR	0.078241	0.026014	1.105e-6	0.073315	0.025695
ACAT2	0.0028855150093566218	ENSG00000120437.7	EUR	0.083107	0.035557	0.005433	0.082464	0.036747
ACBD5	0.0019550302123206536	ENSG00000107897.13	EUR	-0.008107	0.008429	0.2844	-0.008062	0.008405
ACCS	0.4892092613313001	ENSG00000110455.9	EUR	0.615485	0.044826	0	0.671275	0.103396
ACER3	0.003489732729767312	ENSG00000078124.6	EUR	0.008997	0.022748	0.3761	0.009121	0.023084
ACN9	0.001308073864138524	ENSG00000196636.7	EUR	0.079746	0.040829	0.03127	0.080883	0.043002
ACO1	0.0069794559105420175	ENSG00000122729.11	EUR	0.062707	0.024966	0.003302	0.060271	0.02479
ACO2	0.0024595044972997135	ENSG00000100412.10	EUR	5.5e-5	0.006649	0.5	5.5e-5	0.006643
ACOT13	0.008791098330883384	ENSG00000112304.5	EUR	-0.005431	0.014493	0.4002	-0.005525	0.014751
ACOT2	0.11075283335860711	ENSG00000119673.10	EUR	0.115537	0.040879	2.67e-5	0.11774	0.045207
ACOT4	0.2772943684264653	ENSG00000177465.4	EUR	0.390435	0.056245	0	0.393844	0.086063
ACOT8	0.04816173546010103	ENSG00000101473.11	EUR	0.098478	0.041362	0.01053	0.100894	0.044897
ACOX3	0.16928847023781188	ENSG00000087008.10	EUR	0.239992	0.043555	9.33e-13	0.232678	0.049838
ACP1	7.00176122056316e-5	ENSG00000143727.10	EUR	0.024727	0.020298	0.1292	0.024514	0.020303
ACP2	0.04902302617937901	ENSG00000134575.4	EUR	0.056567	0.024395	1.609e-4	0.052636	0.023741
ACP5	7.309375778928257e-4	ENSG00000102575.5	EUR	0.00268	0.015212	0.4478	0.002675	0.015184
